page,url,status,reason
entertainment-sports.html,https://nlbm.com/digital-archive/,403,Forbidden
entertainment-sports.html,https://rfrn.org/archive,404,Not Found
entertainment-sports.html,https://vaudevillearchiveproject.org/,N/A,Connection failed
entertainment-sports.html,https://www.circushistory.org/public/research.php,404,Not Found
entertainment-sports.html,https://www.loc.gov/collections/american-variety-stage-vaudeville-and-popular-entertainment-1870-to-1920/,404,Standard 40x
entertainment-sports.html,https://www.loc.gov/collections/early-motion-pictures-1897-to-1920/,404,Standard 40x
entertainment-sports.html,https://www.loc.gov/collections/historic-american-sheet-music/,404,Standard 40x
entertainment-sports.html,https://www.loc.gov/collections/world-fairs-at-the-library-of-congress/,404,Standard 40x
federal.html,https://digital.library.okstate.edu/kappler/,N/A,Connection failed
federal.html,https://www.archives.gov/research/cartographic-and-architectural-records,404,Not Found
federal.html,https://www.congress.gov/,403,Forbidden
federal.html,https://www.congress.gov/congressional-record,403,Forbidden
federal.html,https://www.loc.gov/collections/born-in-slavery-slave-narratives-from-the-federal-writers-project-1936-to-1938/,404,Standard 40x
federal.html,https://www.loc.gov/collections/maps/,404,Standard 40x
federal.html,https://www.loc.gov/collections/selected-civil-war-photographs/,404,Standard 40x
federal.html,https://www.loc.gov/newspapers/,403,Forbidden
federal.html,https://www.si.edu/openaccess,403,Forbidden
federal.html,https://www.statueofliberty.org/discover/passenger-ship-search/,403,Forbidden
florida.html,http://staugustine.uflib.ufl.edu/,N/A,Connection failed
florida.html,https://ccspacemuseum.org/library/special/,403,Forbidden
florida.html,https://merrick.library.miami.edu/digitalprojects/chc.php,N/A,Timeout
florida.html,https://www.floridamemory.com/,403,Forbidden
florida.html,https://www.floridamemory.com/discover/maps/,403,Forbidden
florida.html,https://www.floridamemory.com/learn/classroom/learning-units/civil-rights/,403,Forbidden
florida.html,https://www.floridamemory.com/learn/classroom/learning-units/civil-war/documents/,403,Forbidden
florida.html,https://www.floridamemory.com/learn/classroom/learning-units/cuban-revolution/,403,Forbidden
florida.html,https://www.floridamemory.com/learn/classroom/learning-units/railroads/lessonplans/guides/flagler/,403,Forbidden
florida.html,https://www.floridamemory.com/learn/exhibits/in-her-own-words/marjory-douglas/,403,Forbidden
florida.html,https://www.floridamemory.com/learn/exhibits/photo_exhibits/everglades/,403,Forbidden
florida.html,https://www.floridamemory.com/learn/research-tools/guides/civilwarguide/published.php,403,Forbidden
florida.html,https://www.loc.gov/collections/chronicling-america/titles/?searchType=advanced&st=table&sb=title_s_asc&location_state=florida,429,Too Many Requests
foodways.html,https://archive.org/details/culinary-institute-of-america-702,404,Not Found
foodways.html,https://digital.lib.usu.edu/digital/collection/Cookery,403,Forbidden
foodways.html,https://dp.la/primary-source-sets/colonization-and-settlement-1585-1763,403,Forbidden
foodways.html,https://dp.la/primary-source-sets/cotton-gin-and-the-expansion-of-slavery,403,Forbidden
foodways.html,https://folklife.si.edu/archive,404,Not Found
foodways.html,https://whatamericaate.org/,N/A,Connection failed
foodways.html,https://www.archives.gov/research/military/ww2/ration-books,404,Not Found
foodways.html,https://www.lib.umich.edu/collections/collecting-areas/special-collections-research-center/janice-bluestein-longone-culinary,404,Not Found
foodways.html,https://www.loc.gov/collections/american-folklife-center/,429,Too Many Requests
foodways.html,https://www.loc.gov/collections/immigrant-arrivals-at-ellis-island-1892-1924/,429,Too Many Requests
foodways.html,https://www.nal.usda.gov/collections/exhibits/george-washington-carver,N/A,"Client error: 400, message='Got more than 8190 bytes (10436) when reading Header value is too long.', url='https://www.nal.usda.gov/collections/exhibits/george-washington-carver'"
foodways.html,https://www.nal.usda.gov/collections/exhibits/three-sisters,N/A,"Client error: 400, message='Got more than 8190 bytes (10436) when reading Header value is too long.', url='https://www.nal.usda.gov/collections/exhibits/three-sisters'"
gender-sexuality.html,https://dp.la/primary-source-sets/women-and-work-in-the-us,403,Forbidden
gender-sexuality.html,https://exhibits.lib.buffalo.edu/s/gayliberation/page/welcome,N/A,Connection failed
gender-sexuality.html,https://one.usc.edu/archive,403,Forbidden
gender-sexuality.html,https://rmc.library.cornell.edu/HSC/,403,Forbidden
gender-sexuality.html,https://transcollectionsproject.org/,N/A,Connection failed
gender-sexuality.html,https://www.aidsmemorial.org/interactive-quilt,404,Not Found
gender-sexuality.html,https://www.digitaltransgenderarchive.net/,403,Forbidden
gender-sexuality.html,https://www.glbthistory.org/screaming-queens,404,Not Found
gender-sexuality.html,https://www.lambdalegal.org/in-court/legal-docs,403,Forbidden
gender-sexuality.html,https://www.loc.gov/collections/aids-education-posters/,404,Standard 40x
gender-sexuality.html,https://www.loc.gov/collections/civil-rights-history-project/,429,Too Many Requests
gender-sexuality.html,https://www.loc.gov/collections/independent-voices/,404,Standard 40x
gender-sexuality.html,https://www.nps.gov/ston/learn/historyculture/index.htm,404,Not Found
gender-sexuality.html,https://www.smith.edu/libraries/special-collections/sophia-smith-collection,403,Forbidden
gender-sexuality.html,https://www.supremecourt.gov/opinions/14pdf/14-556_3204.pdf,404,Not Found
georgia.html,https://dlg.usg.edu/,503,Service Unavailable
georgia.html,https://dlg.usg.edu/collection/dlg_zlgl,503,Service Unavailable
georgia.html,https://dlg.usg.edu/collection/geh_0091,503,Service Unavailable
georgia.html,https://dlg.usg.edu/collections.html?f%5Btime_periods_sms%5D%5B%5D=Antebellum+Era+(1800-1860),503,Service Unavailable
georgia.html,https://dlg.usg.edu/collections?f%5Bsubject_facet%5D%5B%5D=Enslaved+persons--Georgia,503,Service Unavailable
georgia.html,https://dlg.usg.edu/record/dlg_zlgb_gb0265,503,Service Unavailable
georgia.html,https://dlg.usg.edu/records?collection_record_id=guan_4259&f%5Bsubject_facet%5D%5B%5D=Slave+records--Georgia,503,Service Unavailable
georgia.html,https://dp.la/primary-source-sets/the-freedmen-s-bureau,403,Forbidden
georgia.html,https://www.archives.gov/milestone-documents/indian-removal-act,404,Not Found
georgia.html,https://www.loc.gov/collections/indigenous-law-web-archive/,429,Too Many Requests
great-plains.html,https://dp.la/primary-source-sets/oklahoma-land-rush,403,Forbidden
great-plains.html,https://dp.la/primary-source-sets/the-dust-bowl,403,Forbidden
great-plains.html,https://memory.loc.gov/ammem/award/97award/ndsu.html,429,Too Many Requests
great-plains.html,https://www.kshs.org/p/cattle-trails-of-kansas/11643,404,Not Found
great-plains.html,https://www.loc.gov/classroom-materials/dust-bowl-migration/,429,Too Many Requests
hawaii.html,http://punawaiola.org/,N/A,Connection failed
hawaii.html,https://densho.org/,403,Forbidden
hawaii.html,https://digitalarchives.hawaii.gov/,404,Not Found
hawaii.html,https://dp.la/search?q=Hawaii,403,Forbidden
hawaii.html,https://www.loc.gov/classroom-materials/immigration/japanese/hawaii-life-in-a-plantation-society/,429,Too Many Requests
hawaii.html,https://www.loc.gov/collections/chronicling-america/titles/?searchType=advanced&st=table&sb=title_s_asc&location_state=hawaii,429,Too Many Requests
