page,broken_url,status,reason,suggested_replacement,notes
gender-sexuality.html,https://www.glbthistory.org/screaming-queens,404,Not Found,https://calisphere.org/collections/28070/,Push
gender-sexuality.html,https://www.loc.gov/collections/aids-education-posters/,404,Standard 40x,,Delete
gender-sexuality.html,https://www.loc.gov/collections/independent-voices/,404,Standard 40x,https://www.jstor.org/site/reveal-digital/independent-voices/?so=item_title_str_asc&searchkey=1771693324377,"Now hosted at JSTOR, not Library of Congress"
gender-sexuality.html,https://www.nps.gov/ston/learn/historyculture/index.htm,404,Not Found,https://www.nps.gov/places/stonewall-national-monument.htm,Delete
gender-sexuality.html,https://www.supremecourt.gov/opinions/14pdf/14-556_3204.pdf,404,Not Found,https://www.oyez.org/cases/2014/14-556,Switch to Oyez site (research this)
georgia.html,https://www.archives.gov/milestone-documents/indian-removal-act,404,Not Found,https://americanindian.si.edu/nk360/removal-muscogee/transcription-removal-act.html,Switch to NMAI site (research this)
great-plains.html,https://www.kshs.org/p/cattle-trails-of-kansas/11643,404,Not Found,,Delete
hawaii.html,http://punawaiola.org/,N/A,Connection failed,https://ulukau.org/,Push; describe Ulukau archives
hawaii.html,https://digitalarchives.hawaii.gov/,404,Not Found,,No change needed
idaho.html,https://digitalatlas.cose.isu.edu/geog/agirrig/agigmain.htm,N/A,Timeout,https://www.isu.edu/digitalatlas/,Push
idaho.html,https://librarycollections.law.umn.edu/documents/darrow/trialpdfs/Haywood_Trial.pdf,404,Not Found,https://librarycollections.law.umn.edu/darrow/trials_details.php?id=3,Push
illinois.html,https://www.ilsos.gov/departments/archives.html,N/A,Timeout,https://www.ilsos.gov/departments/archives.html,Push
illinois.html,https://www.ilsos.gov/departments/archives/databases.html,N/A,Timeout,https://www.ilsos.gov/departments/archives/databases.html,No change needed
illinois.html,https://www.ilsos.gov/departments/archives/databases/blkhawk.html,N/A,Timeout,https://www.ilsos.gov/departments/archives/databases/blkhawk.html,No change needed
illinois.html,https://www.ilsos.gov/departments/archives/online-exhibits/100-documents/1919-coroner-race-riot.html,N/A,Timeout,https://www.ilsos.gov/departments/archives/online-exhibits/100-documents/1919-coroner-race-riot.html,No change needed
immigration.html,https://www.nypl.org/research/collections/schomburg,404,Not Found,https://www.nypl.org/locations/schomburg/research,Push
iowa.html,https://history.iowa.gov/history/education/educator-resources/primary-source-sets,404,Not Found,https://iowa.minisisinc.com/scripts/mwimain.dll/144/PRIMARY_SOURCES/WEB_PS_SUM?COMMANDSEARCH&NOMSG=[IOWA_ROOT]no-record-primary-sources.html&EXP=%2B%2B%40,Push
kentucky.html,https://ekufindingaids.libraryhost.com/index.php?p=collections%2Fcollections&browse=,N/A,Connection failed,,Delete
kentucky.html,https://passtheword.khs.gov/,N/A,Connection failed,https://history.ky.gov/,Push
labor.html,https://guides.loc.gov/labor-history,404,Not Found,https://guides.loc.gov/organized-labor,Push
labor.html,https://rfrankllc.libraryhost.com/repositories/2,N/A,Connection failed,,Delete
labor.html,https://rfrankllc.libraryhost.com/repositories/3,N/A,Connection failed,,Delete
labor.html,https://www.aphsarchives.org/digital-collections,N/A,Connection failed,,Delete
louisiana.html,https://archives.arch-no.org/sfpc,N/A,Connection failed,https://nolacatholic.org/publications,Push
maine.html,https://www.maine.gov/sos/archives/archives-collections,404,Not Found,https://www.maine.gov/sos/archives/,Delete
maryland.html,https://oll.libertyfund.org/pages/1649-maryland-toleration-act,404,Not Found,https://avalon.law.yale.edu/18th_century/maryland_toleration.asp,Push with Avalon Project description update
michigan.html,https://www.thehenryford.org/collections-and-research/digital-collections/archival-collections/,404,Not Found,https://www.thehenryford.org/collections-and-research/digital-collections/,Push
mid-atlantic.html,https://www.castlegarden.org/,N/A,Timeout,https://www.familysearch.org/en/blog/ny-castle-garden-ellis-island,Now on FamilySearch; update URL and description
military.html,https://ahec.armywarcollege.edu/,N/A,Timeout,https://ahec.armywarcollege.edu/,No change needed
military.html,https://www.nps.gov/vafo/learn/historyculture/publications.htm,404,Not Found,https://www.nps.gov/vafo/learn/historyculture/index.htm,Push
mississippi.html,https://egrove.olemiss.edu/westernunion/,404,Not Found,https://egrove.olemiss.edu/west_union/,Push
missouri.html,https://library.missouri.edu/news/resources-and-services/collection-of-key-documents-from-the-st-louis-worlds-fair-now-available,404,Not Found,https://digital.library.missouri.edu/node/188188,Push
nevada.html,https://knowledgecenter.unr.edu/sheepherders/sheepherding.html,N/A,Connection failed,https://library.unr.edu/places/basque,Use this URL and turn into a recommendation to UNR's Jon Bilbao Basque Library
new-jersey.html,https://nj.gov/state/historical/his-2022-lenape.shtml,404,Not found,,Delete
new-jersey.html,https://www.njstatelib.org/research_library/new_jersey_resources/digital_collection/,404,Not Found,https://www.njstatelib.org/research_library/digital-collections/,Push
new-mexico.html,https://www.nmhistorymuseum.org/collections/photo-archives/digital-collections.html,N/A,Timeout,,Delete
