page,url,status,reason
mississippi.html,https://egrove.olemiss.edu/westernunion/,404,Not Found
missouri.html,https://library.missouri.edu/news/resources-and-services/collection-of-key-documents-from-the-st-louis-worlds-fair-now-available,404,Not Found
nevada.html,https://knowledgecenter.unr.edu/sheepherders/sheepherding.html,N/A,Connection failed
new-jersey.html,https://nj.gov/state/historical/his-2022-lenape.shtml,404,Not found
new-jersey.html,https://www.njstatelib.org/research_library/new_jersey_resources/digital_collection/,404,Not Found
new-mexico.html,https://www.nmhistorymuseum.org/collections/photo-archives/digital-collections.html,N/A,Timeout
new-york.html,https://collections.nypl.org/,N/A,Connection failed
new-york.html,https://nysl.libguides.com/eriecanal,N/A,Connection failed
north-carolina.html,http://libcdm1.uncg.edu/cdm/search/collection/CivilRights/,N/A,Timeout
north-carolina.html,https://guides.library.duke.edu/c.php?g=1317696&p=11141549,404,Not Found
north-dakota.html,https://www.history.nd.gov/archives/manuscripts/agriculture.html,404,Not Found
north-dakota.html,https://www.history.nd.gov/archives/manuscripts/inventory/10335.html,404,Not Found
ohio.html,https://uchistorylab.com/whda/s/whda/page/archives,404,Not Found
oklahoma.html,https://ncppt.nps.gov/rt66archive/oklahoma-digital-collections/,N/A,Connection failed
oklahoma.html,https://www.nativeoralhistory.org/,N/A,Client error: Server disconnected
pacific.html,https://californiareveal.org/,N/A,Connection failed
pacific.html,https://library.berkeley.edu/ea/,N/A,Timeout
pacific.html,https://plateauportal.wsu.edu/,N/A,Connection failed
pacific.html,https://www.lib.berkeley.edu/libraries/bancroft-library/digital-collections,404,Not Found
pennsylvania.html,https://guides.loc.gov/chronicling-america-johnstown-flood-introduction,404,Not Found
pennsylvania.html,https://www.pa.gov/agencies/phmc/pa-state-archives/research-online/research-guides/slavery-and-underground-railroad-resources-manuscript-groups,404,Not Found
pennsylvania.html,https://www.phmc.state.pa.us/portal/communities/documents/1681-1770/default.html,404,Not Found
pennsylvania.html,https://www.phmc.state.pa.us/portal/communities/documents/default.html,404,Not Found
religious-history.html,https://oberlinarchives.libraryhost.com/index.php?p=collections/controlcard&id=85,N/A,Connection failed
rhode-island.html,https://archive.org/details/lettersrogerwill00will,404,Not Found
rhode-island.html,https://usnwcarchive.org/,N/A,Connection failed
rhode-island.html,https://www.loc.gov/collections/american-indians-of-the-pacific-northwest/,404,Standard 40x
rhode-island.html,https://www.nps.gov/blrv/learn/historyculture/slater-mill.htm,404,Not Found
south-carolina.html,https://digital.scetv.org/teachingAmerhistory/tTrove/orangeburgmassacre.htm,N/A,Timeout
southeast.html,https://www.american-south.org/,N/A,Connection failed
southwest.html,https://www.tsl.texas.gov/treasures/giants/cattle/page1.html,404,Not Found
tennessee.html,https://digitaltennesday.tnsos.gov/,N/A,Connection failed
us-latin-america.html,https://www.cia.gov/readingroom/,N/A,"Client error: 0, message='', url='https://www.cia.gov/readingroom/'"
us-latin-america.html,https://www.cia.gov/readingroom/collection/guatemala,N/A,"Client error: 0, message='', url='https://www.cia.gov/readingroom/collection/guatemala'"
us-virgin-islands.html,https://uvi.sobeklibrary.com/ua,404,Not Found
vermont.html,https://parks.ny.gov/historic-sites/bennington-battlefield/details.aspx,404,Not Found
vermont.html,https://vermonthistoryexplorer.org/en/,404,Not Found
washington.html,http://ntserver1.wsulibs.wsu.edu/masc/finders/pc104.htm,N/A,Timeout
west-virginia.html,https://www.digitallibraryofappalachia.org/,N/A,Connection failed
west-virginia.html,https://www.libraries.psu.edu/about/collections/united-mine-workers-america-archives,404,Not Found
westward-expansion.html,https://calisphere.org/collections/25989/,404,Not Found
westward-expansion.html,https://westernamericana.yale.edu/,N/A,Connection failed
westward-expansion.html,https://www.archives.gov/research/military/indian-wars,404,Not Found
westward-expansion.html,https://www.autry.org/research,404,Not Found
westward-expansion.html,https://www.californiahistoricalsociety.org/collections/,N/A,Timeout
westward-expansion.html,https://www.isu.edu/digitalhistory/overland-trails/,404,Not Found
westward-expansion.html,https://www.kshs.org/p/cattle-trails-of-kansas/11643,404,Not Found
westward-expansion.html,https://www.newberry.org/collection/general-information,404,Not Found
westward-expansion.html,https://www.tsl.texas.gov/treasures/giants/cattle/page1.html,404,Not Found
westward-expansion.html,https://www.usgs.gov/special-topics/history,404,Not Found
womens-history.html,https://ecssba.rutgers.edu/,N/A,Connection failed
womens-history.html,https://susanbanthonyhouse.org/research-resources/,404,Not Found
womens-history.html,https://www.archives.gov/education/lessons/title-ix,404,Not Found
womens-history.html,https://www.womenshistory.org/resources/general/digital-collections,404,Not Found
womens-history.html,https://www.womenssportsfoundation.org/education/title-ix-history/,404,Not Found
